Storing rrt results in the format (id, x, y, parent)

Start: 1.000000 1.000000
Goal: 9.000000 9.000000

0, 1.000000, 1.000000, NULL
1, 1.549650, 1.835395, 0
2, 1.883786, 2.777920, 1
3, 1.787322, 3.773256, 2
4, 1.670683, 4.766431, 3
5, 2.879198, 2.873604, 2
6, 1.378036, 5.722651, 4
7, 3.798374, 2.479757, 5
8, 2.296710, 6.117669, 6
9, 2.123665, 4.796492, 4
10, 3.215383, 6.512687, 8
11, 4.213785, 6.456184, 10
12, 2.057867, 1.695449, 1
13, 5.096814, 6.925503, 11
14, 5.883109, 6.307652, 13
15, 6.798054, 5.904073, 14
16, 5.945732, 6.211648, 14
17, 0.395755, 1.796799, 0
18, 7.069586, 4.941643, 15
19, 1.309891, 0.973451, 0
20, 1.760873, 4.407746, 4
21, 6.557366, 4.750026, 18
22, 4.638996, 1.938135, 7
23, 7.537693, 4.057971, 18
24, 8.256891, 3.363166, 23
25, 8.278570, 2.363401, 24
26, 5.891936, 7.151584, 13
27, 1.029850, 6.660076, 6
28, 8.254095, 4.755659, 23
29, 6.751426, 7.662737, 26
30, 5.538015, 1.500224, 22
31, 8.307255, 5.416796, 28
32, 5.087220, 0.607596, 30
33, 7.610916, 8.173889, 29
34, 1.062578, 1.384468, 0
35, 3.653782, 2.550720, 7
36, 5.636583, 7.267745, 26
37, 6.842435, 6.819182, 29
38, 3.994019, 2.582268, 7
39, 1.420094, 0.302061, 19
40, 6.072748, 0.438082, 32
41, 3.014487, 1.404112, 12
42, 1.510222, 6.763507, 27
43, 6.374843, 6.930329, 37
44, 7.496279, 7.992906, 33
45, 6.532543, 1.604688, 30
46, 6.054236, 7.283271, 26
47, 3.311657, 3.775258, 5
48, 6.797186, 8.119725, 29
49, 1.282178, 7.737157, 42
50, 3.670570, 6.196403, 10
51, 1.798186, 8.593741, 49
52, 4.150914, 0.909592, 32
53, 8.422983, 7.590325, 33
54, 3.781817, 4.657839, 47
55, 0.230368, 1.713113, 17
56, 8.801802, 8.515796, 53
57, 7.767348, 8.206141, 33
58, 1.247091, 2.331847, 1
59, 7.327641, 0.998206, 45
60, 8.871059, 9.513394, 56
61, 2.574813, 6.187794, 8
62, 4.809495, 5.652984, 11
63, 8.895456, 6.708980, 53
64, 7.857874, 3.781191, 23
65, 1.705149, 8.561905, 51
66, 1.935517, 0.275017, 39
67, 1.099697, 8.042365, 49
68, 6.524335, 9.081781, 48
69, 9.000000, 9.000000, 56
